ALERT-001 | Failed Login | 10.0.0.5
ALERT-072 | Privilege Change | server-03
ALERT-073 | Security Policy Violation | 192.168.1.150
ALERT-074 | Security Policy Violation | 192.168.1.105
ALERT-075 | Endpoint Detection | 10.0.0.150
ALERT-076 | Suspicious DNS | workstation-02
ALERT-077 | Configuration Change | 10.0.0.12
ALERT-078 | Failed Login | 10.0.0.15
ALERT-079 | Suspicious DNS | workstation-06
ALERT-080 | Suspicious DNS | server-01
ALERT-081 | Account Change | workstation-05
ALERT-082 | Malware Detection | 192.168.1.105
ALERT-083 | Account Change | workstation-05
ALERT-084 | Configuration Change | workstation-02
ALERT-085 | Privilege Change | workstation-03
ALERT-086 | Failed Login | server-01
ALERT-087 | Network Anomaly | 10.0.0.15
ALERT-088 | Suspicious Process | workstation-03
ALERT-089 | Privilege Change | server-04
ALERT-090 | Suspicious Process | 192.168.1.42
ALERT-091 | Malware Detection | 192.168.1.25
ALERT-092 | Account Change | 10.0.0.45
ALERT-093 | Configuration Change | 10.0.0.5
ALERT-094 | Network Anomaly | server-03
ALERT-095 | Privilege Change | workstation-02
ALERT-096 | Suspicious DNS | workstation-02
ALERT-097 | Malware Detection | workstation-06
ALERT-098 | Privilege Change | workstation-06
ALERT-099 | Unusual Authentication | workstation-05
ALERT-100 | File Integrity | 10.0.0.22
ALERT-101 | Endpoint Detection | server-04
ALERT-102 | Suspicious DNS | workstation-03
ALERT-103 | Unusual Authentication | 10.0.0.5
ALERT-104 | Security Policy Violation | 192.168.1.42
ALERT-105 | Configuration Change | 10.0.0.5
ALERT-106 | Malware Detection | 192.168.1.77
ALERT-107 | Privilege Change | 10.0.0.150
ALERT-108 | Failed Login | 10.0.0.150
ALERT-109 | Security Policy Violation | 10.0.0.12
ALERT-110 | Malware Detection | server-03
ALERT-111 | Configuration Change | 10.0.0.12
ALERT-112 | Unusual Authentication | server-04
ALERT-113 | Suspicious DNS | 10.0.0.22
ALERT-114 | Suspicious Process | workstation-01
ALERT-115 | Unusual Authentication | 10.0.0.45
ALERT-116 | Privilege Change | workstation-02
ALERT-117 | Security Policy Violation | 192.168.1.150
ALERT-118 | File Integrity | workstation-03
ALERT-119 | Network Anomaly | server-02
ALERT-120 | File Integrity | server-02
ALERT-121 | Privilege Change | 192.168.1.105
ALERT-122 | Suspicious Process | workstation-06
ALERT-123 | Endpoint Detection | 192.168.1.200
ALERT-124 | Unusual Authentication | 192.168.1.200
ALERT-125 | Malware Detection | 10.0.0.150
ALERT-126 | File Integrity | 10.0.0.12
ALERT-127 | Endpoint Detection | 10.0.0.5
ALERT-128 | Security Policy Violation | workstation-03
ALERT-129 | File Integrity | workstation-04
ALERT-130 | File Integrity | 10.0.0.5
ALERT-131 | Malware Detection | server-02
ALERT-132 | Suspicious Process | 10.0.0.8
ALERT-133 | File Integrity | 10.0.0.12
ALERT-134 | Failed Login | 192.168.1.42
ALERT-135 | Malware Detection | workstation-02
ALERT-136 | File Integrity | 192.168.1.10
ALERT-137 | Suspicious Process | workstation-01
ALERT-138 | File Integrity | workstation-03
ALERT-139 | Suspicious DNS | server-03
ALERT-140 | Security Policy Violation | workstation-04
ALERT-141 | Configuration Change | 10.0.0.150
ALERT-142 | Configuration Change | 192.168.1.150
ALERT-143 | File Integrity | 10.0.0.15
ALERT-144 | Malware Detection | server-01
ALERT-145 | Account Change | 192.168.1.77
ALERT-146 | Account Change | 192.168.1.150
ALERT-147 | Configuration Change | server-03
ALERT-148 | Failed Login | server-01
ALERT-149 | Suspicious Process | workstation-06
ALERT-150 | Malware Detection | 10.0.0.8
ALERT-151 | Account Change | server-03
ALERT-152 | Endpoint Detection | 10.0.0.15
ALERT-153 | File Integrity | 10.0.0.101
ALERT-154 | File Integrity | workstation-03
ALERT-155 | Configuration Change | 10.0.0.22
ALERT-156 | Account Change | 10.0.0.45
ALERT-157 | Privilege Change | 192.168.1.200
ALERT-158 | File Integrity | 10.0.0.12
ALERT-159 | Configuration Change | workstation-03
ALERT-160 | Malware Detection | 10.0.0.8
ALERT-161 | Suspicious Process | workstation-03
ALERT-162 | Failed Login | 10.0.0.12
ALERT-163 | File Integrity | 10.0.0.45
ALERT-164 | Account Change | workstation-01
ALERT-165 | Configuration Change | 10.0.0.101
ALERT-166 | Account Change | 10.0.0.8
ALERT-167 | Suspicious DNS | 192.168.1.105
ALERT-168 | Failed Login | 192.168.1.105
ALERT-169 | Privilege Change | 192.168.1.200
ALERT-170 | Privilege Change | 192.168.1.150
ALERT-171 | Network Anomaly | server-03
ALERT-172 | Unusual Authentication | server-01
ALERT-173 | Network Anomaly | workstation-01
ALERT-174 | Suspicious DNS | 10.0.0.101
ALERT-175 | Privilege Change | 10.0.0.101
ALERT-176 | Failed Login | workstation-04
